epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,963.907,0.23425,0.2038,0.20105,0.80758,0.99908,1,0.995,0.9947,0.99908,1,0.995,0.99154,0.13283,0.12774,0.13087,0.77239,0.000990365,0.000990365,0.000990365
43,987.683,0.2296,0.19282,0.19519,0.81262,0.99935,1,0.995,0.995,0.99935,1,0.995,0.98756,0.1377,0.13474,0.13084,0.77363,0.000973861,0.000973861,0.000973861
44,1011.68,0.22063,0.19097,0.19516,0.80647,0.99933,1,0.995,0.995,0.99933,1,0.995,0.98943,0.13832,0.12332,0.14069,0.77463,0.000957358,0.000957358,0.000957358
45,1035.55,0.22231,0.18566,0.19085,0.81589,0.99936,1,0.995,0.995,0.99936,1,0.995,0.98757,0.14196,0.13472,0.14321,0.77324,0.000940855,0.000940855,0.000940855
46,1059.73,0.22149,0.18808,0.19256,0.80425,0.99931,1,0.995,0.99478,0.99931,1,0.995,0.99061,0.14582,0.13598,0.13555,0.7744,0.000924352,0.000924352,0.000924352
47,1083.75,0.21994,0.19353,0.18828,0.80347,0.99931,1,0.995,0.995,0.99931,1,0.995,0.98732,0.144,0.1347,0.1329,0.77461,0.000907848,0.000907848,0.000907848
48,1107.96,0.23483,0.22067,0.19361,0.81355,0.99931,1,0.995,0.995,0.99931,1,0.995,0.99107,0.15168,0.13324,0.13896,0.77575,0.000891345,0.000891345,0.000891345
49,1131.9,0.22297,0.19561,0.18796,0.80372,0.99933,1,0.995,0.995,0.99933,1,0.995,0.99189,0.12906,0.12735,0.13364,0.77262,0.000874842,0.000874842,0.000874842
50,1155.68,0.2185,0.19164,0.18504,0.80487,0.99939,1,0.995,0.995,0.99939,1,0.995,0.99006,0.12662,0.12233,0.12309,0.77215,0.000858338,0.000858338,0.000858338
51,1179.35,0.21555,0.19906,0.18124,0.80217,0.99928,1,0.995,0.995,0.99928,1,0.995,0.98903,0.13035,0.12731,0.12366,0.77302,0.000841835,0.000841835,0.000841835
52,1203.34,0.21003,0.18844,0.1801,0.80514,0.99922,1,0.995,0.99486,0.99922,1,0.995,0.98999,0.13114,0.12614,0.12901,0.7729,0.000825332,0.000825332,0.000825332
53,1226.95,0.21695,0.18955,0.18291,0.80502,0.99926,1,0.995,0.995,0.99926,1,0.995,0.99023,0.12634,0.12714,0.12134,0.77165,0.000808828,0.000808828,0.000808828
54,1250.75,0.2067,0.18437,0.17245,0.80409,0.99925,1,0.995,0.995,0.99925,1,0.995,0.99052,0.12304,0.1254,0.1203,0.7713,0.000792325,0.000792325,0.000792325
55,1274.61,0.21199,0.19787,0.17861,0.80475,0.99927,1,0.995,0.995,0.99927,1,0.995,0.98929,0.12456,0.13337,0.12404,0.77198,0.000775822,0.000775822,0.000775822
56,1298.44,0.21498,0.19405,0.18159,0.80785,0.99935,1,0.995,0.995,0.99935,1,0.995,0.98954,0.12698,0.12609,0.12294,0.77139,0.000759318,0.000759318,0.000759318
57,1322.2,0.2082,0.18638,0.17594,0.80788,0.99935,1,0.995,0.995,0.99935,1,0.995,0.99097,0.11459,0.12786,0.11597,0.77174,0.000742815,0.000742815,0.000742815
58,1345.93,0.20058,0.18163,0.16894,0.80515,0.99933,1,0.995,0.995,0.99933,1,0.995,0.99041,0.11243,0.12807,0.11108,0.77132,0.000726312,0.000726312,0.000726312
59,1369.82,0.20635,0.19474,0.1775,0.80303,0.99928,1,0.995,0.995,0.99928,1,0.995,0.98966,0.12447,0.13395,0.11416,0.77148,0.000709809,0.000709809,0.000709809
60,1393.43,0.20097,0.18921,0.16805,0.80002,0.99937,1,0.995,0.995,0.99937,1,0.995,0.9902,0.11662,0.13132,0.11459,0.77092,0.000693305,0.000693305,0.000693305
61,1416.98,0.20391,0.18956,0.16787,0.79938,0.99933,1,0.995,0.995,0.99933,1,0.995,0.99133,0.12634,0.12167,0.11776,0.77126,0.000676802,0.000676802,0.000676802
62,1440.7,0.1945,0.18356,0.16471,0.79957,0.99929,1,0.995,0.995,0.99929,1,0.995,0.98952,0.11424,0.13008,0.10271,0.76947,0.000660299,0.000660299,0.000660299
63,1464.19,0.19634,0.18493,0.1692,0.79934,0.9992,1,0.995,0.99484,0.9992,1,0.995,0.98816,0.11822,0.1294,0.11391,0.77001,0.000643795,0.000643795,0.000643795
64,1487.84,0.20175,0.19204,0.17131,0.79724,0.99923,1,0.995,0.995,0.99923,1,0.995,0.98892,0.1156,0.12167,0.11089,0.7702,0.000627292,0.000627292,0.000627292
65,1511.7,0.19687,0.19521,0.15953,0.81996,0.99937,1,0.995,0.995,0.99937,1,0.995,0.99022,0.11943,0.12806,0.11258,0.77015,0.000610789,0.000610789,0.000610789
66,1535.24,0.19966,0.17662,0.1633,0.80688,0.99929,1,0.995,0.995,0.99929,1,0.995,0.99143,0.11675,0.12725,0.10753,0.77033,0.000594286,0.000594286,0.000594286
67,1559.09,0.19635,0.18744,0.16575,0.80863,0.99931,1,0.995,0.995,0.99931,1,0.995,0.99141,0.12397,0.12443,0.11266,0.77174,0.000577782,0.000577782,0.000577782
68,1582.69,0.19241,0.20468,0.15809,0.80823,0.99929,1,0.995,0.995,0.99929,1,0.995,0.99127,0.1155,0.12775,0.10364,0.77027,0.000561279,0.000561279,0.000561279
69,1606.57,0.19474,0.17845,0.15941,0.80498,0.9997,1,0.995,0.995,0.9997,1,0.995,0.9916,0.10995,0.13116,0.10011,0.76971,0.000544776,0.000544776,0.000544776
70,1630.18,0.19133,0.1868,0.15757,0.80485,0.99936,1,0.995,0.995,0.99936,1,0.995,0.99105,0.11501,0.12692,0.1116,0.77066,0.000528272,0.000528272,0.000528272
71,1653.73,0.18936,0.17668,0.16018,0.79555,0.99935,1,0.995,0.995,0.99935,1,0.995,0.9889,0.12105,0.12478,0.11596,0.77127,0.000511769,0.000511769,0.000511769
72,1677.43,0.1919,0.18039,0.16033,0.80073,0.99967,1,0.995,0.995,0.99967,1,0.995,0.9909,0.11486,0.12933,0.11411,0.77047,0.000495266,0.000495266,0.000495266
73,1701.08,0.19169,0.18357,0.15865,0.80209,0.99933,1,0.995,0.995,0.99933,1,0.995,0.99129,0.10631,0.12909,0.10329,0.76959,0.000478762,0.000478762,0.000478762
74,1724.82,0.18577,0.17862,0.15216,0.81042,0.99967,1,0.995,0.995,0.99967,1,0.995,0.99042,0.11493,0.12276,0.10609,0.76957,0.000462259,0.000462259,0.000462259
75,1748.66,0.17816,0.17174,0.14873,0.80315,0.99934,1,0.995,0.995,0.99934,1,0.995,0.99103,0.10787,0.11869,0.10885,0.76896,0.000445756,0.000445756,0.000445756
76,1772.55,0.17792,0.18194,0.14703,0.79784,0.99962,1,0.995,0.995,0.99962,1,0.995,0.99073,0.10074,0.125,0.09804,0.76779,0.000429253,0.000429253,0.000429253
77,1796.55,0.17799,0.17963,0.15014,0.79831,0.99966,1,0.995,0.995,0.99966,1,0.995,0.99083,0.10084,0.11965,0.10261,0.76815,0.000412749,0.000412749,0.000412749
78,1820.23,0.18249,0.18406,0.1486,0.79981,0.99931,1,0.995,0.995,0.99931,1,0.995,0.99074,0.09952,0.12255,0.09486,0.76821,0.000396246,0.000396246,0.000396246
79,1843.74,0.18029,0.17866,0.14659,0.8027,0.99935,1,0.995,0.995,0.99935,1,0.995,0.99182,0.10229,0.12661,0.10013,0.76859,0.000379743,0.000379743,0.000379743
80,1867.77,0.18879,0.17606,0.15057,0.79633,0.99967,1,0.995,0.995,0.99967,1,0.995,0.99143,0.10144,0.12523,0.09948,0.76919,0.000363239,0.000363239,0.000363239
81,1891.68,0.17908,0.17459,0.14534,0.79892,0.99932,1,0.995,0.995,0.99932,1,0.995,0.99209,0.09592,0.11799,0.09368,0.76825,0.000346736,0.000346736,0.000346736
